nan | N | dmodel dff | h | dk | dv | Pdrop | εls | nan | nan | nan | nan | nan
nan | nan | nan | nan | nan | nan | nan | nan | nan | steps | (dev) | (dev) | ×106
base | 6 | 512 2048 | 8 | 64 | 64 | 0.1 | 0.1 | nan | 100K | 4.92 | 25.8 | 65
nan | nan | nan | 1 | 512 | 512 | nan | nan | nan | nan | 5.29 | 24.9 | nan
nan | nan | nan | 4 | 128 | 128 | nan | nan | nan | nan | 5.00 | 25.5 | nan
(A) | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
nan | nan | nan | 16 | 32 | 32 | nan | nan | nan | nan | 4.91 | 25.8 | nan
nan | nan | nan | 32 | 16 | 16 | nan | nan | nan | nan | 5.01 | 25.4 | nan
nan | nan | nan | nan | 16 | nan | nan | nan | nan | nan | 5.16 | 25.1 | 58
(B) | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
nan | nan | nan | nan | 32 | nan | nan | nan | nan | nan | 5.01 | 25.4 | 60
nan | 2 | nan | nan | nan | nan | nan | nan | nan | nan | 6.11 | 23.7 | 36
nan | 4 | nan | nan | nan | nan | nan | nan | nan | nan | 5.19 | 25.3 | 50
nan | 8 | nan | nan | nan | nan | nan | nan | nan | nan | 4.88 | 25.5 | 80
(C) | nan | 256 | nan | 32 | 32 | nan | nan | nan | nan | 5.75 | 24.5 | 28
nan | nan | 1024 | nan | 128 | 128 | nan | nan | nan | nan | 4.66 | 26.0 | 168
nan | nan | 1024 | nan | nan | nan | nan | nan | nan | nan | 5.12 | 25.4 | 53
nan | nan | 4096 | nan | nan | nan | nan | nan | nan | nan | 4.75 | 26.2 | 90
nan | nan | nan | nan | nan | nan | 0.0 | nan | nan | nan | 5.77 | 24.6 | nan
nan | nan | nan | nan | nan | nan | 0.2 | nan | nan | nan | 4.95 | 25.5 | nan
(D) | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan | nan
nan | nan | nan | nan | nan | nan | nan | 0.0 | nan | nan | 4.67 | 25.3 | nan
nan | nan | nan | nan | nan | nan | nan | 0.2 | nan | nan | 5.47 | 25.7 | nan
(E) | nan | positional embedding instead of sinusoids | nan | nan | nan | nan | nan | nan | nan | 4.92 | 25.7 | nan
big | 6 | 1024 4096 | 16 | nan | nan | 0.3 | nan | nan | 300K | 4.33 | 26.4 | 213
